highway_name,start_city,end_city,distance_km,notes
1,Uri,Leh,422,"The highway connecting Uri, Baramula, Srinagar, Kargil and terminating at Leh in State of Jammu & Kashmir. Old NH No.: 1A & 1D."
301,Kargil (on NH-1),Zanskar (Zanskar Road),234,The highway starting from Kargil on NH-1 and terminating at Zanskar (Zanskar Road) in the state of Jammu and Kashmir. Old NH No.: 1A.
501,Panchtarni (near NH-1),Khanabal (on N.H-44),90,"The highway starting from its junction with NH-1 connecting Panchtarni, Chandanwari, Pahalgam, Batakut, Martand and terminating at Khanabal on N.H-44 in the state of Jammu & Kashmir. Old NH No.: 1AA."
701,Baramula (on NH-1),Tangdhar,126,"The highway starting from Baramula on NH-1 connecting Rafiabad, Kupwara and terminating at Tangdhar in the state of Jammu and Kashmir. Old NH No.: 1B."
2,Dibrugarh (near NH-15),Tuipang,1325.63,"The highway starting from its junction with NH-15 near Dibrugarh in the State of Assam connecting Sibsagar and Amguri in the State of Assam, Mokokchung, Wokha and Kohima in the State of Nagaland, Imphal and Churachandpur in the State of Manipur, Seling, Serchhip, Lawngtla and terminating at Tuipang in the State of Mizoram. Old NH No.: 37, 61, 39, 150 & 54."
102,Imphal (near NH-2),Moreh (Indo/Myanmar Border),107,The highway starting from its junction with NH-2 near Imphal and terminating at Moreh (Indo/Myanmar Border) in the State of Manipur. Old NH No.: 39.
202,Mokokchung (near NH-2),Imphal (near NH-2),534.5,"The highway starting from its junction with NH-2 near Mokokchung in the State of Nagaland connecting Tuensang, Sampurre and Meluri in the State of Nagaland, Jessami, Ukhrul and terminating at its junction with NH-2 near Imphal in the State of Manipur. Old NH No.: 155 & 150."
102A,Tadubi (near NH-2),Tengnoupal (near NH-102),321,"The highway starting from its junction with NH 2 at Tadubi connecting Paomata, Ukhrul, Finch corner, Kasom Khullen, Kampang and terminating at its junction with NH 102 near Tengnoupal in the State of Manipur. Old NH No.: 4A."
102B,Churachandpur (on N.H-2),Keifang (near new NH-6),323,"The highway starting from Churachandpur on N.H-2 connecting Singhat, Sinzawl, Tuivai Road in Nagopa, Hliappui, Saichal and terminating at new NH No-6 near Keifang in the state of Mizoram. Old NH No.: 4B."
102C,Palel (near new NH-102),Chandel,20,The highway starting from its junction with new NH No. 102 near Palel and terminating at Chandel in the State of Manipur. Old NH No.: 261.
302,Theriat (near NH-2),Kawrpuichhuah (near Bangladesh border),109,"The highway starting from its junction with NH-2 near Theriat connecting Lunglei, Lungseni, Tuiehong and terminating at Kawrpuichhuah near Bangladesh border in the State of Mizoram. Old NH No.: 54A."
502,Venus Saddle (near NH-2),Saiha,27,The highway starting from its junction with NH-2 near Venus Saddle in the State of Mizoram and terminating at Saiha in the State of Mizoram. Old NH No.: 54B.
502A,Lawngtlai (on N.H-2),Mynamar Border (Kaladan Road),100,The highway starting from Lawngtlai on N.H-2 and terminating at Mynamar Border (Kaladan Road) in the state of Mizoram. Old NH No.: 6A.
702,Chantongia (near NH-2),Sapekhati (near new NH-215),205.4,"The highway starting from its junction with NH-2 near Chantongia connecting Longling, Lonhching, Mon, Lapa, Tizit in the State of Nagaland, Sonari and terminating at its junction with new NH No. 215 near Sapekhati in the State of Assam. Old NH No.: 257."
702A,Mokokchung (near new NH 2),Meluri (near New NH No.- 202),260,"The highway starting from its junction with new NH No 2 near Mokokchung connecting Zunheboto, Phek and terminating at its junction with New NH No.- 202 near Meluri in the State of Nagaland. Old NH No.: 258."
702C,Sibasagar (on NH-2),Sonari (on new NH No. 702),52,The highway starting from its junction with Sibasagar on NH-2 connecting Simalguri and terminating at its junction with new NH No. 702 at Sonari in the State of Assam. Old NH No.: 286.
702B,Longling (on new NH No. 702),Tuensang (on NH-202),104,The highway starting from its junction with Longling on new NH No. 702 and terminating at its junction with NH-202 at Tuensang in the state of Nagaland. Old NH No.: 287.
702D,Mokokchung (near new NH 2),Jorhat (near NH-715),134.59,The highway starting from its junction with new NH No 2 near Mokokchung in the state of Nagaland connecting Mariami and terminating at NH-715 near Jorhat in the state of Assam. Old NH No.: 307.
3,Atari (India/Pakistan Border),Leh,883.18,"The highway connecting Atari (India/Pakistan Border), Amritsar, Jalandhar, Hoshiapur in the State of Punjab, Naduan, Hamirpur, Toni Devi, Awa Devi, Mandi, Kullu, Manali, Gramphoo, Kyelong in the State of Himachal Pradesh and terminating at Leh in the State of Jammu and Kashmir. Old NH No.: 1, 21, 70, 76 & 88."
103,Hamirpur (near NH-3),Ghaghas (on NH 154),76.6,"The highway starting from its junction with NH-3 near Hamirpur and connecting Bhota, Ghumarwain and terminating near Ghaghas on NH 154 in Himachal Pradesh. Old NH No.: 88."
303,Nagrota (at NH-154 junction),Naduan (on NH-3),70.4,"The highway starting from Nagrota at the junction of NH-154 connecting Ranital, Jawalamukhi and terminating at Naduan on NH-3 in Himachal Pradesh. Old NH No.: 20A, 88."
