data,start_city,end_city
"Highway: 1, From: Uri, To: Leh, Distance: 422.0 km, Notes: The highway connecting Uri, Baramula, Srinagar, Kargil and terminating at Leh in State of Jammu & Kashmir. Old NH No.: 1A & 1D.",Uri,Leh
"Highway: 301, From: Kargil (on NH-1), To: Zanskar (Zanskar Road), Distance: 234.0 km, Notes: The highway starting from Kargil on NH-1 and terminating at Zanskar (Zanskar Road) in the state of Jammu and Kashmir. Old NH No.: 1A.",Kargil (on NH-1),Zanskar (Zanskar Road)
"Highway: 501, From: Panchtarni (near NH-1), To: Khanabal (on N.H-44), Distance: 90.0 km, Notes: The highway starting from its junction with NH-1 connecting Panchtarni, Chandanwari, Pahalgam, Batakut, Martand and terminating at Khanabal on N.H-44 in the state of Jammu & Kashmir. Old NH No.: 1AA.",Panchtarni (near NH-1),Khanabal (on N.H-44)
"Highway: 701, From: Baramula (on NH-1), To: Tangdhar, Distance: 126.0 km, Notes: The highway starting from Baramula on NH-1 connecting Rafiabad, Kupwara and terminating at Tangdhar in the state of Jammu and Kashmir. Old NH No.: 1B.",Baramula (on NH-1),Tangdhar
"Highway: 2, From: Dibrugarh (near NH-15), To: Tuipang, Distance: 1325.63 km, Notes: The highway starting from its junction with NH-15 near Dibrugarh in the State of Assam connecting Sibsagar and Amguri in the State of Assam, Mokokchung, Wokha and Kohima in the State of Nagaland, Imphal and Churachandpur in the State of Manipur, Seling, Serchhip, Lawngtla and terminating at Tuipang in the State of Mizoram. Old NH No.: 37, 61, 39, 150 & 54.",Dibrugarh (near NH-15),Tuipang
"Highway: 102, From: Imphal (near NH-2), To: Moreh (Indo/Myanmar Border), Distance: 107.0 km, Notes: The highway starting from its junction with NH-2 near Imphal and terminating at Moreh (Indo/Myanmar Border) in the State of Manipur. Old NH No.: 39.",Imphal (near NH-2),Moreh (Indo/Myanmar Border)
"Highway: 202, From: Mokokchung (near NH-2), To: Imphal (near NH-2), Distance: 534.5 km, Notes: The highway starting from its junction with NH-2 near Mokokchung in the State of Nagaland connecting Tuensang, Sampurre and Meluri in the State of Nagaland, Jessami, Ukhrul and terminating at its junction with NH-2 near Imphal in the State of Manipur. Old NH No.: 155 & 150.",Mokokchung (near NH-2),Imphal (near NH-2)
"Highway: 102A, From: Tadubi (near NH-2), To: Tengnoupal (near NH-102), Distance: 321.0 km, Notes: The highway starting from its junction with NH 2 at Tadubi connecting Paomata, Ukhrul, Finch corner, Kasom Khullen, Kampang and terminating at its junction with NH 102 near Tengnoupal in the State of Manipur. Old NH No.: 4A.",Tadubi (near NH-2),Tengnoupal (near NH-102)
"Highway: 102B, From: Churachandpur (on N.H-2), To: Keifang (near new NH-6), Distance: 323.0 km, Notes: The highway starting from Churachandpur on N.H-2 connecting Singhat, Sinzawl, Tuivai Road in Nagopa, Hliappui, Saichal and terminating at new NH No-6 near Keifang in the state of Mizoram. Old NH No.: 4B.",Churachandpur (on N.H-2),Keifang (near new NH-6)
"Highway: 102C, From: Palel (near new NH-102), To: Chandel, Distance: 20.0 km, Notes: The highway starting from its junction with new NH No. 102 near Palel and terminating at Chandel in the State of Manipur. Old NH No.: 261.",Palel (near new NH-102),Chandel
